00,CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Supervisor District,Neighborhood,Point,Source,Media URL
30,6595866,2016-12-05 09:07:47,2016-12-05 12:08:41,2016-12-05 12:08:41,Closed,Case Resolved - Police Officer responded to request under CAD # 163401104. Advised of violation.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - wellbeing_check - request_for_service,homeless_concerns - wellbeing_check - request_for_service,Intersection of ERIE ST and MISSION ST,9,Mission,"(37.7690454018668, -122.420032143074)",Web Self Service,
31,6595863,2016-12-05 09:07:31,,2016-12-05 09:07:31,Open,accepted,Police - Homeless Concerns Queue,General Requests,homeless_concerns - wellbeing_check - request_for_service,homeless_concerns - wellbeing_check - request_for_service,"1799 MISSION ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.768299648276, -122.419913931934)",Web Self Service,
32,6595393,2016-12-05 07:52:15,2016-12-05 10:00:43,2016-12-05 10:00:43,Closed,Case Resolved - Police Officer responded to request under CAD # 163400712. Issue was addressed.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - wellbeing_check - request_for_service,homeless_concerns - wellbeing_check - request_for_service,Intersection of 20TH ST and FLORIDA ST,9,Mission,"(37.7591338604323, -122.410758686679)",Open311,
33,6594478,2016-12-04 18:06:36,2016-12-04 23:55:43,2016-12-04 23:55:43,Closed,Case Resolved - Police Officer responded to request under CAD # 163393093. Individual(s) not found at location provided.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - aggressive_behavior - request_for_service,homeless_concerns - aggressive_behavior - request_for_service,"2048 BRYANT ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.761130420644, -122.410127826554)",Open311,
34,6593656,2016-12-04 13:10:01,2016-12-04 23:59:00,2016-12-04 23:59:00,Closed,Case Resolved - Police Officer responded to request under CAD # 163392819. Issue was addressed.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - aggressive_behavior - request_for_service,homeless_concerns - aggressive_behavior - request_for_service,Intersection of 18TH ST and FLORIDA ST,9,Mission,"(37.7617009755953, -122.411090102877)",Open311,
35,6593645,2016-12-04 13:04:17,2016-12-04 19:08:22,2016-12-04 19:08:22,Closed,Case Resolved - Police Officer responded to request under CAD # 163392641. Individual(s) not found at location provided.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - aggressive_behavior - request_for_service,homeless_concerns - aggressive_behavior - request_for_service,"580 YORK ST, SAN FRANCISCO, CA, 94110",10,Mission,"(37.762111439113, -122.409379734077)",Open311,
36,6593257,2016-12-04 10:28:48,2016-12-05 00:12:08,2016-12-05 00:12:08,Closed,Case Resolved - Police Officer responded to request under CAD # 163392766. Advised of violation.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - aggressive_behavior - request_for_service,homeless_concerns - aggressive_behavior - request_for_service,"55 ERIE ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.769204578783, -122.416754982389)",Open311,
37,6593157,2016-12-04 09:59:13,2016-12-04 19:16:53,2016-12-04 19:16:53,Closed,Case Resolved - Police Officer responded to request under CAD # 163392767. Issue was addressed.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - aggressive_behavior - request_for_service,homeless_concerns - aggressive_behavior - request_for_service,"1462 HAMPSHIRE ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.749211824887, -122.406778513483)",Open311,
38,6592638,2016-12-03 23:17:38,2016-12-04 00:04:23,2016-12-04 00:04:23,Closed,Case Resolved - Police Officer responded to request under CAD # 163383961. Advised of violation.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - aggressive_behavior - request_for_service,homeless_concerns - aggressive_behavior - request_for_service,Intersection of 16TH ST and FOLSOM ST,9,Mission,"(37.7653147489607, -122.415308353435)",Open311,
39,6592389,2016-12-03 19:23:23,2016-12-03 22:04:10,2016-12-03 22:04:10,Closed,Case Resolved - Police Officer responded to request under CAD # 163383217. Individual(s) not found at location provided.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - homeless_other - request_for_service,homeless_concerns - homeless_other - request_for_service,"3070 25TH ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.751158703164, -122.411396433772)",Open311,
40,6592345,2016-12-03 18:45:33,2016-12-03 22:35:31,2016-12-03 22:35:31,Closed,Case Resolved - Police Officer responded to request under CAD # 163383063. Advised of violation.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - aggressive_behavior - request_for_service,homeless_concerns - aggressive_behavior - request_for_service,"2953 HARRISON ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.75023680852, -122.411488470541)",Open311,
41,6591608,2016-12-03 14:27:26,2016-12-03 14:43:53,2016-12-03 14:43:53,Closed,Insufficient Information - Insufficient infomation provided for action to be taken.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - aggressive_behavior - request_for_service,homeless_concerns - aggressive_behavior - request_for_service,"1462 HAMPSHIRE ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.749211824887, -122.406778513483)",Open311,
42,6590409,2016-12-03 07:57:54,2016-12-03 16:42:55,2016-12-03 16:42:55,Closed,"Case Resolved - Unknown CAD Disposition, Default to Resolved",Police - Homeless Concerns Queue,General Requests,homeless_concerns - wellbeing_check - request_for_service,homeless_concerns - wellbeing_check - request_for_service,"1775 MISSION ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.76874863953, -122.419829235681)",Open311,
43,6589585,2016-12-02 17:42:55,2016-12-02 22:30:20,2016-12-02 22:30:20,Closed,Case Resolved - Police Officer responded to request under CAD # 163372972. Advised of violation.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - aggressive_behavior - request_for_service,homeless_concerns - aggressive_behavior - request_for_service,"1385 NATOMA ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.767013796033, -122.418288299392)",Open311,
44,6589510,2016-12-02 17:10:43,2016-12-02 20:31:24,2016-12-02 20:31:24,Closed,Case Resolved - Police Officer responded to request under CAD # 163372817. Issue was addressed.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - aggressive_behavior - request_for_service,homeless_concerns - aggressive_behavior - request_for_service,"2953 HARRISON ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.75023680852, -122.411488470541)",Open311,
45,6588959,2016-12-02 14:58:48,2016-12-02 21:16:49,2016-12-02 21:16:49,Closed,Case Resolved - Police Officer responded to request under CAD # 163372302. Individual(s) not found at location provided.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - homeless_other - request_for_service,homeless_concerns - homeless_other - request_for_service,"2931 20TH ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.759040436731, -122.410348261368)",Open311,
46,6586851,2016-12-02 07:55:57,2016-12-02 09:35:00,2016-12-02 09:35:00,Closed,Case Resolved - Police Officer responded to request under CAD # 163370732. Advised of violation.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - wellbeing_check - request_for_service,homeless_concerns - wellbeing_check - request_for_service,Intersection of CLINTON PARK and STEVENSON ST,9,Mission,"(37.7693386881199, -122.42147026036)",Open311,
47,6585738,2016-12-01 16:19:06,2016-12-01 20:04:41,2016-12-01 20:04:41,Closed,Case Resolved - Police Officer responded to request under CAD # 163362639. Individual(s) not found at location provided.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - wellbeing_check - request_for_service,homeless_concerns - wellbeing_check - request_for_service,"285 14TH ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.76818415829, -122.419638957054)",Open311,
48,6585492,2016-12-01 15:37:42,2016-12-01 20:01:04,2016-12-01 20:01:04,Closed,Case Resolved - Police Officer responded to request under CAD # 163362476. Individual(s) not found at location provided.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - aggressive_behavior - request_for_service,homeless_concerns - aggressive_behavior - request_for_service,"277 14TH ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.768186355142, -122.419465812169)",Open311,
49,6584439,2016-12-01 12:20:53,2016-12-02 00:32:52,2016-12-02 00:32:52,Closed,Case Resolved - Police Officer responded to request under CAD # 163361736. Issue was addressed.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - homeless_other - request_for_service,homeless_concerns - homeless_other - request_for_service,"2075 FOLSOM ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.764097916779, -122.415011903149)",Open311,
50,6581354,2016-11-30 15:22:06,2016-11-30 16:11:20,2016-11-30 16:11:20,Closed,"Case Resolved - Unknown CAD Disposition, Default to Resolved",Police - Homeless Concerns Queue,General Requests,homeless_concerns - homeless_other - request_for_service,homeless_concerns - homeless_other - request_for_service,Intersection of DUBOCE AVE and WOODWARD ST,9,Mission,"(37.7699176156536, -122.420938486348)",Open311,
51,6571164,2016-11-28 09:56:18,2016-12-06 20:25:22,2016-12-06 20:25:22,Closed,Case Resolved - 10-98,DPW Ops Queue,General Requests,homeless_concerns - wellbeing_check - request_for_service,homeless_concerns - wellbeing_check - request_for_service,"64 14TH ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.76871733002, -122.414822691325)",Open311,
52,6568756,2016-11-27 12:11:36,2016-11-27 19:47:18,2016-11-27 19:47:18,Closed,Case Resolved - Police Officer responded to request under CAD # 163321441. Individual(s) not found at location provided.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - homeless_other - request_for_service,homeless_concerns - homeless_other - request_for_service,"2501 17TH ST, SAN FRANCISCO, CA, 94110",10,Mission,"(37.764368875344, -122.40847693204)",Open311,
53,6567658,2016-11-26 17:58:49,2016-11-26 18:46:08,2016-11-26 18:46:08,Closed,Case Resolved - Police Officer responded to request under CAD # 163312857. Issue was addressed.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - wellbeing_check - request_for_service,homeless_concerns - wellbeing_check - request_for_service,"1815 MISSION ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.767889518119, -122.419760606962)",Web Self Service,
54,6564024,2016-11-25 08:56:41,2016-11-25 16:14:41,2016-11-25 16:14:41,Closed,Case Resolved - Police Officer responded to request under CAD # 163300729. Individual(s) not found at location provided.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - wellbeing_check - request_for_service,homeless_concerns - wellbeing_check - request_for_service,"1799 MISSION ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.768299648276, -122.419913931934)",Web Self Service,
55,6564023,2016-11-25 08:56:25,2016-11-25 10:26:11,2016-11-25 10:26:11,Closed,"Case Resolved - Unknown CAD Disposition, Default to Resolved",Police - Homeless Concerns Queue,General Requests,homeless_concerns - wellbeing_check - request_for_service,homeless_concerns - wellbeing_check - request_for_service,"1789 MISSION ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.768614044174, -122.419822993593)",Web Self Service,
56,6564021,2016-11-25 08:56:09,2016-11-25 09:13:19,2016-11-25 09:13:19,Closed,"Case Resolved - Unknown CAD Disposition, Default to Resolved",Police - Homeless Concerns Queue,General Requests,homeless_concerns - wellbeing_check - request_for_service,homeless_concerns - wellbeing_check - request_for_service,"1775 MISSION ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.76874863953, -122.419829235681)",Web Self Service,
57,6562485,2016-11-24 09:38:49,2016-11-24 10:20:55,2016-11-24 10:20:55,Closed,Case Resolved - Police Officer responded to request under CAD # 163290820. Issue was addressed.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - wellbeing_check - request_for_service,homeless_concerns - wellbeing_check - request_for_service,Intersection of ERIE ST and MISSION ST,9,Mission,"(37.7690454018668, -122.420032143074)",Web Self Service,
58,6561657,2016-11-23 17:25:34,2016-11-23 18:41:54,2016-11-23 18:41:54,Closed,Case Resolved - Police Officer responded to request under CAD # 163282915. Individual(s) not found at location provided.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - aggressive_behavior - request_for_service,homeless_concerns - aggressive_behavior - request_for_service,"277 14TH ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.768186355142, -122.419465812169)",Open311,
59,6561617,2016-11-23 17:10:53,2016-11-23 18:44:35,2016-11-23 18:44:35,Closed,Case Resolved - Police Officer responded to request under CAD # 163282871. Individual(s) not found at location provided.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - aggressive_behavior - request_for_service,homeless_concerns - aggressive_behavior - request_for_service,"1801 MISSION ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.768140571976, -122.419784645878)",Open311,
60,6561270,2016-11-23 15:36:57,2016-11-23 19:35:42,2016-11-23 19:35:42,Closed,"Case Resolved - Unknown CAD Disposition, Default to Resolved",Police - Homeless Concerns Queue,General Requests,homeless_concerns - wellbeing_check - request_for_service,homeless_concerns - wellbeing_check - request_for_service,Intersection of CESAR CHAVEZ ST and VALENCIA ST,9,Mission,"(37.7481252025839, -122.420278896094)",Open311,
61,6560806,2016-11-23 13:56:16,2016-11-24 00:09:03,2016-11-24 00:09:03,Closed,Case Resolved - Police Officer responded to request under CAD # 163282025. Advised of violation.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - homeless_other - request_for_service,homeless_concerns - homeless_other - request_for_service,Intersection of 17TH ST and FLORIDA ST,9,Mission,"(37.7642514416934, -122.411330111097)",Open311,
62,6560060,2016-11-23 11:18:57,2016-11-23 13:45:28,2016-11-23 13:45:28,Closed,Case Resolved - Police Officer responded to request under CAD # 163281403. Police report created.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - aggressive_behavior - request_for_service,homeless_concerns - aggressive_behavior - request_for_service,Intersection of 15TH ST and JULIAN AVE,9,Mission,"(37.7665993360598, -122.421056485527)",Open311,
0,6648274,2016-12-20 23:17:08,,2016-12-20 23:17:08,Open,open,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"471 SOUTH VAN NESS AVE, SAN FRANCISCO, CA, 94103",9,Mission,"(37.765726211258, -122.417357521918)",Open311,
1,6647906,2016-12-20 18:27:42,,2016-12-20 18:32:08,Open,open,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of 15TH ST and JULIAN AVE,9,Mission,"(37.7665993360598, -122.421056485527)",Voice In,
2,6647901,2016-12-20 18:25:46,,2016-12-20 18:25:46,Open,open,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"1500 SOUTH VAN NESS AVE, SAN FRANCISCO, CA, 94110",9,Mission,"(37.7489895689, -122.416097672246)",Open311,
3,6647675,2016-12-20 16:58:30,,2016-12-20 16:58:30,Open,open,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of 15TH ST and JULIAN AVE,9,Mission,"(37.7665993360598, -122.421056485527)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/5859d3a83da153f1b6e8509d/photo_20161220_165743.jpg
4,6647552,2016-12-20 16:31:22,,2016-12-20 16:31:22,Open,open,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of CESAR CHAVEZ ON RAMP and HAMPSHIRE ST,9,Mission,"(37.748957298479, -122.40648746343)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/5859cd4e3da153f1b6e84f1d/report.jpg
5,6646847,2016-12-20 14:28:30,,2016-12-20 14:28:30,Open,open,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"2779 16TH ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.765208516521, -122.414739199641)",Open311,
6,6646765,2016-12-20 14:12:26,,2016-12-20 14:15:00,Open,open,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of TRAINOR ST and 13TH ST,9,Mission,"(37.7695357006967, -122.414494298645)",Voice In,
